,word,automation_bigram_count
86,abide automation,1
87,abolished automation,1
88,abolishing automation,2
89,abolition automation,1
90,abreast automation,1
91,abroad automation,3
92,absolute automation,1
93,absorb automation,2
94,abundance automation,1
95,abuse automation,1
96,abused automation,1
97,accede automation,1
98,accelerate automation,1
99,accelerated automation,3
100,accent automation,1
101,accept automation,3
102,acceptance automation,2
103,accepted automation,2
104,accepting automation,1
105,accident automation,1
